id,Name,Agency,AgencyEmail,Game,CountryLocation,MainVertical,InstagramFollowers,InstagramLink,YoutubeFollowers,YoutubeLink,TwitchFollowers,TwitchLink,TiktokFollowers,TiktokLink,TwitterFollowers,TwitterLink,updatedBy
200,Summit1g,,,CALL OF DUTY,USA,GAMER,59400,https://www.instagram.com/realsummit1g/?hl=en,721000,https://www.youtube.com/@summit1g/about,6200000,https://www.twitch.tv/summit1g,1300,https://www.tiktok.com/@realsummit1g,1000000,https://twitter.com/summit1g,43
201,TommyInnit,,,MINECRAFT,UK,GAMER,3100000,https://www.instagram.com/tommyinnit/,14200000,https://www.youtube.com/channel/UC5p_l5ZeB_wGjO_yDXwiqvw,7400000,https://www.twitch.tv/tommyinnit,12000000,https://www.tiktok.com/@tommyinnit,4200000,https://twitter.com/tommyinnit,43
202,Miniminter,,,MULTI,UK,GAMER,6200000,https://www.instagram.com/miniminter/,5360000,https://www.youtube.com/mm7games,1900000,https://www.twitch.tv/miniminter,2100000,https://www.tiktok.com/@miniminter,3300000,https://twitter.com/miniminter,43
203,"Vikkstar123
",,,MULTI,UK,GAMER,4400000,https://www.instagram.com/Vikkstagram/,7610000,https://www.youtube.com/channel/UCvwgF_0NOZe2vN4Q3g1bY-A,755000,https://www.twitch.tv/vikkstar123,365800,https://www.tiktok.com/@Vikkstagram,3200000,https://twitter.com/vikkstar123,43
204,"TimTheTatman
",WME ,timthetatman@wmeagency.com,MULTI,USA,GAMER,3400000,https://www.instagram.com/timthetatman/,5010000,https://www.youtube.com/channel/UCXBE_QQSZueB8082ml5fslg,7000000,https://www.twitch.tv/timthetatman,4000000,https://www.tiktok.com/@timthetatman,2800000,https://twitter.com/timthetatman,43
205,QuickyBaby,,quickybabybusiness@gmail.com ,WORLD OF TANKS,UK,GAMER,11500,https://www.instagram.com/quickybabytv/,675000,https://www.youtube.com/@QuickyBabyTV/featured,565000,https://www.twitch.tv/quickybaby,,https://www.tiktok.com/@quickybabytv,35600,https://twitter.com/quickybaby,43
206,Félix Lengyel,,,OVERWATCH,CANADA,GAMER,502000,https://www.instagram.com/xqcow1/,2300000,https://www.youtube.com/channel/UCmDTrq0LNgPodDOFZiSbsww,11900000,https://www.twitch.tv/xqc,501300,https://www.tiktok.com/@xqcow1,1500000,https://twitter.com/xqc,43
207,k4sen,,,MULTI,JAPAN,GAMER,14600,https://www.instagram.com/k4sen.denei/?hl=en,595000,https://www.youtube.com/@zzxk4sen,583000,https://www.twitch.tv/k4sen,,https://www.tiktok.com/@k4sen.denei,458300,https://twitter.com/k4sen,43
208,Unchained_Off,,,MULTI,FRANCE,GAMER,173000,https://www.instagram.com/unchained_off/,2540000,https://www.youtube.com/@UnchainedOff,219000,https://www.twitch.tv/unchainedsurtwitch,673800,https://www.tiktok.com/@unchained_off,95300,https://twitter.com/unchainedsurtwitch,43
209,Montana Black (Marcel Thomas Andreas Eris),,,MULTI,GERMANY,GAMER,3500000,https://www.instagram.com/montanablack/,2920000,https://www.youtube.com/@montanablack/featured,5000000,https://www.twitch.tv/montanablack88,2800000,https://www.tiktok.com/@montanablack,1400000,https://twitter.com/montanablack88,43
210,GRONKH,,,MULTI,GERMANY,GAMER,912000,https://www.instagram.com/gronkh/,4940000,https://www.youtube.com/channel/UCYJ61XIK64sp6ZFFS8sctxw,1600000,https://www.twitch.tv/gronkh,179100,https://www.tiktok.com/@gronkh,1300000,https://twitter.com/gronkh,43
211,Handongsuk,,,LOST ARK,SOUTH KOREA,GAMER,,,399000,https://www.youtube.com/@ukitivi,601000,https://www.twitch.tv/handongsuk,,,,,43
212,Hanryang1125,,,MULTI,SOUTH KOREA,GAMER,8300,https://www.instagram.com/hanryang1125/?hl=en,491000,https://www.youtube.com/@hanryang1125,612000,https://www.twitch.tv/hanryang1125,,https://www.tiktok.com/@hanryang1125,,https://twitter.com/hanryang1125,43
